Timestamp,Views
2018-08-23 20:30:00,3196859
2018-08-23 21:00:00,3203294
2018-08-23 21:30:00,3213259
2018-08-23 22:00:00,3218704
2018-08-23 22:30:00,3223316
2018-08-23 23:00:00,3229200
2018-08-23 23:30:00,3234426
2018-08-24 00:00:00,3240300
2018-08-24 00:30:00,3248663
2018-08-24 01:00:00,3273941
2018-08-24 01:30:00,3310736
2018-08-24 02:00:00,3322263
2018-08-24 02:30:00,3369566
2018-08-24 03:00:00,3414360
2018-08-24 03:30:00,3458811
2018-08-24 04:00:00,3496221
2018-08-24 04:30:00,3521215
2018-08-24 05:00:00,3545581
2018-08-24 05:30:00,3581083
2018-08-24 06:00:00,3621157
2018-08-24 06:30:00,3645344
2018-08-24 07:00:00,3677533
2018-08-24 07:30:00,3711602
2018-08-24 08:00:00,3737579
2018-08-24 08:30:00,3770037
2018-08-24 09:00:00,3801284
2018-08-24 09:30:00,3807366
2018-08-24 10:00:00,3809996
2018-08-24 10:30:00,3809996
2018-08-24 11:00:00,3844193
2018-08-24 11:30:00,4033180
2018-08-24 12:00:00,4074732
2018-08-24 12:30:00,4108884
2018-08-24 13:00:00,4179558
2018-08-24 13:30:00,4295460
2018-08-24 14:00:00,4340821
2018-08-24 14:30:00,4360059
2018-08-24 15:00:00,4394531
2018-08-24 15:30:00,4476019
2018-08-24 16:00:00,4513701
2018-08-24 16:30:00,4594693
2018-08-24 17:00:00,4604714
2018-08-24 17:30:00,4633327
2018-08-24 18:00:00,4649836
2018-08-24 18:30:00,4679854
2018-08-24 19:00:00,4697814
2018-08-24 19:30:00,4706154
2018-08-24 20:00:00,4710643
2018-08-24 20:30:00,4715396
2018-08-24 21:00:00,4718742
2018-08-24 21:30:00,4722213
2018-08-24 22:00:00,4727297
2018-08-24 22:30:00,4732045
2018-08-24 23:00:00,4737165
2018-08-24 23:30:00,4742254
2018-08-25 00:00:00,4747084
2018-08-25 00:30:00,4752097
2018-08-25 01:00:00,4774446
2018-08-25 01:30:00,4855140
2018-08-25 02:00:00,4886105
2018-08-25 02:30:00,4928333
2018-08-25 03:00:00,4969501
2018-08-25 03:30:00,5088768
2018-08-25 04:00:00,5126369
2018-08-25 04:30:00,5160983
2018-08-25 05:00:00,5197190
2018-08-25 05:30:00,5295431
2018-08-25 06:00:00,5330014
2018-08-25 06:30:00,5355592
2018-08-25 07:00:00,5382042
2018-08-25 07:30:00,5437895
2018-08-25 08:00:00,5471714
2018-08-25 08:30:00,5498194
2018-08-25 09:00:00,5522147
2018-08-25 09:30:00,5543928
2018-08-25 10:00:00,5566443
2018-08-25 10:30:00,5586070
2018-08-25 11:00:00,5663246
2018-08-25 11:30:00,5694995
2018-08-25 12:00:00,5723209
2018-08-25 12:30:00,5746107
2018-08-25 13:00:00,5703510
2018-08-25 13:30:00,5913547
2018-08-25 14:00:00,5997156
2018-08-25 14:30:00,6033825
2018-08-25 15:00:00,6085546
2018-08-25 15:30:00,6134771
2018-08-25 16:00:00,6174560
2018-08-25 16:30:00,6191560
2018-08-25 17:00:00,6208560
2018-08-25 17:30:00,6243959
2018-08-25 18:00:00,6272091
2018-08-25 18:30:00,6289413
2018-08-25 19:00:00,6305211
2018-08-25 19:30:00,6312272
2018-08-25 20:00:00,6317542
2018-08-25 20:30:00,6322631
2018-08-25 21:00:00,6326783
2018-08-25 21:30:00,6331488
2018-08-25 22:00:00,6335249
2018-08-25 22:30:00,6338464
2018-08-25 23:00:00,6342950
2018-08-25 23:30:00,6345131
2018-08-26 00:00:00,6349460
2018-08-26 00:30:00,6356900
2018-08-26 01:00:00,6371609
2018-08-26 01:30:00,6392239
2018-08-26 02:00:00,6411984
2018-08-26 02:30:00,6448073
2018-08-26 03:00:00,6484057
2018-08-26 03:30:00,6575895
2018-08-26 04:00:00,6646481
2018-08-26 04:30:00,6696415
2018-08-26 05:00:00,6736651
2018-08-26 05:30:00,6794937
2018-08-26 06:00:00,6826225
2018-08-26 06:30:00,6876507
2018-08-26 07:00:00,6906216
2018-08-26 07:30:00,6944479
2018-08-26 08:00:00,6976489
2018-08-26 08:30:00,6995243
2018-08-26 09:00:00,7026469
2018-08-26 09:30:00,7051594
